State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nashik,Nandgaon,Tamarind Fruit,Other,FAQ,15-04-2021,5150.0,6500.0,6150.0,261
Maharashtra,Jalgaon,Jalgaon,Sweet Potato,Other,FAQ,23-11-2020,1000.0,1500.0,1200.0,152
Maharashtra,Amravati,Amrawati(Frui & Veg. Market),Mango,Other,FAQ,01-07-2023,3500.0,4000.0,3750.0,20
Maharashtra,Amravati,Amarawati,Bengal Gram(Gram)(Whole),Other,FAQ,08-05-2020,3700.0,3900.0,3800.0,6
Maharashtra,Jalgaon,Bhusaval,Bitter gourd,Other,FAQ,16-07-2023,3500.0,5000.0,4000.0,81
Maharashtra,Kolhapur,Amalner_Kol,Bajra(Pearl Millet/Cumbu),Other,FAQ,2024-07-15 00:00:00,2074.19,2477.25,2315.63,28
Maharashtra,Mumbai,Mumbai,Green Peas,White Fozi,FAQ,11-11-2020,8200.0,8800.0,8500.0,50
Maharashtra,Chandrapur,Amarawati_Cha,Jowar(Sorghum),Other,FAQ,2021-06-30 00:00:00,1661.7,1936.5,1804.01,5
Maharashtra,Raigad,Karjat(Raigad),Bengal Gram(Gram)(Whole),Other,FAQ,31-08-2021,4500.0,4500.0,4500.0,6
Maharashtra,Ratnagiri,Mumbai- Fruit Market_Rat,Pomegranate,Other,FAQ,2021-01-23 00:00:00,6437.41,11534.57,9021.26,190
Maharashtra,Amravati,Amrawati(Frui & Veg. Market),Pumpkin,Other,FAQ,30-04-2021,600.0,800.0,700.0,84
Maharashtra,Beed,Jalgaon_Bee,Cabbage,Other,FAQ,2022-09-20 00:00:00,900.55,1213.36,1057.2,154
Maharashtra,Amravati,Achalpur,Wheat,Other,FAQ,20-06-2022,1900.0,2000.0,1950.0,1
Maharashtra,Osmanabad,Amalner_Osm,Wheat,Other,FAQ,2025-01-05 00:00:00,2342.71,3045.54,2703.66,1
Maharashtra,Nandurbar,Chopada_Nan,Soyabean,Other,FAQ,2024-07-09 00:00:00,4241.33,4653.88,4517.51,13
Maharashtra,Sangli,Pachora_San,Maize,Other,FAQ,2023-08-02 00:00:00,1586.02,1875.66,1755.31,4
Maharashtra,Palghar,Mumbai_Pal,Chilly Capsicum,Other,FAQ,2023-06-03 00:00:00,3581.69,4454.57,3974.77,88
Maharashtra,Aurangabad,Jalgaon_Aur,Coriander(Leaves),Other,FAQ,2022-05-11 00:00:00,2311.27,3550.32,2911.73,43
Maharashtra,Nagpur,Amarawati_Nag,Bajra(Pearl Millet/Cumbu),Other,FAQ,2022-12-07 00:00:00,2166.17,2394.36,2280.18,28
Maharashtra,Jalgaon,Bhusaval,Carrot,Other,FAQ,09-12-2021,2000.0,2000.0,2000.0,153
Maharashtra,Mumbai,Mumbai,Turmeric,Other,FAQ,26-05-2021,9000.0,15000.0,13000.0,39
Maharashtra,Nashik,Lasalgaon,Bengal Gram(Gram)(Whole),Other,FAQ,08-04-2022,3752.0,5751.0,5125.0,6
Maharashtra,Latur,Jalgaon_Lat,Methi(Leaves),Other,FAQ,2021-05-31 00:00:00,2103.34,2803.15,2420.31,46
Maharashtra,Pune,Dindori(Vani)_Pun,Onion,Other,FAQ,2021-09-06 00:00:00,50257.04,52158.63,51642.18,23
Maharashtra,Akola,Daryapur_Ako,Jowar(Sorghum),Other,FAQ,2024-09-04 00:00:00,1769.02,2061.56,1920.52,5
Maharashtra,Sindhudurg,Panvel_Sin,Bottle gourd,Other,FAQ,2024-06-05 00:00:00,2076.86,2420.33,2234.91,82
Maharashtra,Raigad,Panvel,Bitter gourd,Other,FAQ,13-07-2022,3200.0,3400.0,3300.0,81
Maharashtra,Jalgaon,Yawal,Onion,Red,FAQ,31-12-2021,540.0,950.0,720.0,23
Maharashtra,Nandurbar,Bhusaval_Nan,Green Chilli,Other,FAQ,2022-01-10 00:00:00,2936.38,3437.2,3188.84,87
Maharashtra,Nashik,Nasik,Onion Green,Other,FAQ,02-02-2021,1000.0,3500.0,2400.0,358
Maharashtra,Nagpur,Chandur Bazar_Nag,Bengal Gram(Gram)(Whole),Other,FAQ,2021-10-29 00:00:00,4304.53,4839.46,4603.89,6
Maharashtra,Nashik,Lasalgaon,Arhar (Tur/Red Gram)(Whole),Other,FAQ,26-07-2024,7000.0,7000.0,7000.0,49
Maharashtra,Nashik,Nashik(Devlali),Coriander(Leaves),Other,FAQ,08-08-2022,700.0,1600.0,1000.0,43
Maharashtra,Dhule,Pachora_Dhu,Maize,Other,FAQ,2021-10-06 00:00:00,1854.24,2123.94,2017.53,4
Maharashtra,Mumbai,Mumbai,Bengal Gram Dal (Chana Dal),Other,FAQ,21-02-2024,6800.0,8000.0,7600.0,263
Maharashtra,Washim,Mumbai_Was,Cinamon(Dalchini),Other,FAQ,2024-12-13 00:00:00,24020.43,36689.57,30134.21,316
Maharashtra,Raigad,Alibagh,Rice,Other,FAQ,19-03-2020,4000.0,4500.0,4200.0,3
Maharashtra,Nashik,Nasik,Cauliflower,Other,FAQ,27-07-2021,285.0,890.0,570.0,34
Maharashtra,Jalgaon,Bhusaval,Cucumbar(Kheera),Other,FAQ,17-08-2023,1000.0,1800.0,1200.0,159
Maharashtra,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,25-11-2024,9000.0,16000.0,13000.0,260
Maharashtra,Pune,Pimpalgaon_Pun,Pomegranate,Other,FAQ,2023-09-24 00:00:00,571.63,11138.95,7334.23,190
Maharashtra,Pune,Satana_Pun,Wheat,Other,FAQ,2020-03-20 00:00:00,1730.95,2045.72,1888.17,1
Maharashtra,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,21-03-2022,3000.0,7211.0,7000.0,13
Maharashtra,Mumbai,Mumbai,Cowpea (Lobia/Karamani),Other,FAQ,23-05-2024,8000.0,13500.0,11800.0,92
Maharashtra,Bhandara,Amrawati(Frui & Veg. Market)_Bha,Bitter gourd,Other,FAQ,2024-11-03 00:00:00,2250.59,2685.44,2464.89,81
Maharashtra,Jalgaon,Bhusaval,Drumstick,Other,Local,23-02-2025,5000.0,5000.0,5000.0,168
Maharashtra,Nashik,Nasik,Karbuja(Musk Melon),Other,FAQ,14-05-2022,1300.0,2000.0,1600.0,187
Maharashtra,Nagpur,Amrawati(Frui & Veg. Market)_Nag,Garlic,Other,FAQ,2024-04-21 00:00:00,6579.89,12242.98,9404.53,25
Maharashtra,Nashik,Nashik(Devlali),Onion Green,Other,FAQ,03-10-2021,600.0,1010.0,900.0,358
Maharashtra,Aurangabad,Bhusaval_Aur,Carrot,Other,FAQ,2024-11-23 00:00:00,1514.12,1898.28,1705.78,153
Maharashtra,Nashik,Nasik,Raddish,Other,FAQ,26-01-2021,1000.0,2000.0,1500.0,161
Maharashtra,Raigad,Karjat(Raigad),Wheat,Other,FAQ,29-10-2023,2300.0,2700.0,2500.0,1
Maharashtra,Gondia,Nandgaon Khandeshwar_Gon,Bengal Gram(Gram)(Whole),Other,FAQ,2022-10-25 00:00:00,4496.15,5054.89,4808.84,6
Maharashtra,Bhandara,Amrawati(Frui & Veg. Market)_Bha,Spinach,Other,FAQ,2022-02-13 00:00:00,1382.53,1767.04,1574.74,342
Maharashtra,Nashik,Manmad,Maize,Other,FAQ,07-06-2023,1529.0,1772.0,1760.0,4
Maharashtra,Ratnagiri,Mumbai_Rat,Corriander seed,Other,FAQ,2024-03-08 00:00:00,7687.97,12954.02,10601.43,108
Maharashtra,Raigad,Pen,Bitter gourd,Other,FAQ,24-05-2021,3800.0,4000.0,3800.0,81
Maharashtra,Nashik,Chandvad,Bhindi(Ladies Finger),Other,FAQ,01-07-2023,2000.0,3300.0,2700.0,85
Maharashtra,Amravati,Amarawati,Bajra(Pearl Millet/Cumbu),Other,FAQ,17-07-2023,2200.0,2500.0,2350.0,28
Maharashtra,Amravati,Amrawati(Frui & Veg. Market),Mango,Other,FAQ,23-06-2021,800.0,2200.0,1500.0,20
Maharashtra,Mumbai,Mumbai,Sweet Pumpkin,Other,FAQ,26-08-2021,800.0,1200.0,1000.0,173
Maharashtra,Nashik,Satana,Tamarind Fruit,Other,FAQ,07-04-2021,1000.0,1891.0,1500.0,261
Maharashtra,Ratnagiri,Mumbai_Rat,Ground Nut Seed,Other,FAQ,2023-05-11 00:00:00,8885.42,11604.44,10504.71,268
Maharashtra,Latur,Bhusaval_Lat,Methi(Leaves),Other,FAQ,2021-07-20 00:00:00,1844.34,2457.97,2122.27,46
Maharashtra,Wardha,Amarawati_War,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,2021-05-01 00:00:00,9422.02,10558.77,9987.42,11
Maharashtra,Raigad,Panvel,Cucumbar(Kheera),Other,FAQ,22-05-2023,1800.0,2200.0,2000.0,159
Maharashtra,Aurangabad,Chalisgaon_Aur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2022-10-20 00:00:00,6051.33,7447.7,6942.32,9
Maharashtra,Nashik,Pimpalgaon,Pomegranate,Other,FAQ,27-07-2023,700.0,7500.0,5750.0,190
Maharashtra,Jalgaon,Jalgaon,Bitter gourd,Other,FAQ,24-05-2023,2500.0,2500.0,2500.0,81
Maharashtra,Palghar,Mumbai_Pal,Beans,Other,FAQ,2021-04-21 00:00:00,3355.97,4159.0,3740.79,94
Maharashtra,Latur,Amalner_Lat,Soyabean,Other,FAQ,2022-07-23 00:00:00,4387.75,4888.71,4711.95,13
Maharashtra,Jalgaon,Chopada,Maize,Deshi Red,FAQ,05-04-2021,1261.0,1421.0,1341.0,4
Maharashtra,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Other,FAQ,10-05-2024,500.0,1764.0,1650.0,23
Maharashtra,Beed,Bhusaval_Bee,Onion,Red,FAQ,2022-07-17 00:00:00,1059.49,2113.15,1576.1,23
Maharashtra,Aurangabad,Jalgaon_Aur,Sweet Pumpkin,Other,FAQ,2022-07-09 00:00:00,1111.55,1486.86,1286.68,173
Maharashtra,Nanded,Bhusaval_Nan,Mango (Raw-Ripe),Other,FAQ,2022-05-14 00:00:00,2809.63,3707.04,3257.49,172
Maharashtra,Washim,Raver_Was,Bengal Gram(Gram)(Whole),Other,FAQ,2021-03-25 00:00:00,4623.61,5189.77,4951.32,6
Maharashtra,Mumbai,Mumbai,Onion Green,Other,FAQ,02-03-2020,1000.0,1500.0,1250.0,358
Maharashtra,Sangli,Jalgaon_San,Spinach,Other,FAQ,2021-12-23 00:00:00,1467.25,1709.17,1591.31,342
Maharashtra,Raigad,Mangaon,Rice,Other,FAQ,27-06-2024,1900.0,4800.0,3500.0,3
Maharashtra,Jalgaon,Bhusaval,Coriander(Leaves),Other,FAQ,26-04-2023,1500.0,1500.0,1500.0,43
Maharashtra,Nashik,Yeola,Onion,Red,FAQ,27-02-2020,700.0,2289.0,1850.0,23
Maharashtra,Mumbai,Mumbai,Ridgeguard(Tori),Other,FAQ,21-03-2023,3000.0,4400.0,3700.0,160
Maharashtra,Jalgaon,Jalgaon,Ginger(Green),Other,FAQ,30-05-2023,7000.0,10000.0,8000.0,103
Maharashtra,Aurangabad,Jalgaon_Aur,Carrot,Other,FAQ,2024-04-04 00:00:00,1789.66,2243.73,2016.2,153
Maharashtra,Gadchiroli,Bhusaval_Gad,Cucumbar(Kheera),Other,FAQ,2024-12-07 00:00:00,1176.48,1595.3,1382.46,159
Maharashtra,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,11-11-2021,1540.0,2035.0,1750.0,28
Maharashtra,Nashik,Nampur,Onion,Red,FAQ,17-01-2022,100.0,2230.0,1800.0,23
Maharashtra,Jalgaon,Bhusaval,Lime,Other,FAQ,21-05-2021,2800.0,2800.0,2800.0,180
Maharashtra,Nashik,Lasalgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,29-07-2024,2426.0,2716.0,2652.0,28
Maharashtra,Hingoli,Jalgaon_Hin,Bhindi(Ladies Finger),Other,FAQ,2020-06-19 00:00:00,2491.14,3149.99,2819.69,85
Maharashtra,Buldhana,Jalgaon_Bul,Soyabean,Other,FAQ,2023-07-22 00:00:00,4463.55,4897.71,4754.2,13
Maharashtra,Jalgaon,Jalgaon,Bhindi(Ladies Finger),Other,FAQ,11-04-2023,2000.0,3000.0,2500.0,85
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,04-02-2021,2000.0,4500.0,3250.0,1
Maharashtra,Gondia,Amrawati(Frui & Veg. Market)_Gon,Cabbage,Other,FAQ,2020-11-17 00:00:00,951.37,1222.69,1087.23,154
Maharashtra,Parbhani,Amalner_Par,Green Gram (Moong)(Whole),Other,FAQ,2020-11-17 00:00:00,6660.25,8197.14,7640.9,9
Maharashtra,Nashik,Nasik,Orange,Other,FAQ,12-05-2021,5500.0,8000.0,7000.0,18
Maharashtra,Buldhana,Chopada_Bul,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,2021-08-29 00:00:00,9154.93,9888.32,9777.37,11
Maharashtra,Amravati,Amrawati(Frui & Veg. Market),Peas Wet,Other,FAQ,25-11-2023,1800.0,2000.0,1900.0,174
Maharashtra,Hingoli,Jalgaon_Hin,Coriander(Leaves),Other,FAQ,2023-03-21 00:00:00,1770.32,2719.38,2230.25,43
Maharashtra,Beed,Jalgaon_Bee,Bitter gourd,Other,FAQ,2024-11-25 00:00:00,2573.28,3187.23,2885.72,81
Maharashtra,Nashik,Nasik,Methi(Leaves),Other,FAQ,31-10-2023,2500.0,4000.0,3100.0,46
Maharashtra,Nashik,Malegaon,Maize,Yellow,FAQ,10-08-2022,2301.0,2355.0,2355.0,4
Maharashtra,Satara,Lasalgaon(Niphad)_Sat,Wheat,Maharashtra 2189,FAQ,2023-01-04 00:00:00,2051.55,2424.62,2237.89,1
Maharashtra,Nashik,Lasalgaon(Niphad),Green Gram (Moong)(Whole),Other,FAQ,30-09-2022,6301.0,7400.0,7261.0,9
Maharashtra,Nanded,Jalgaon_Nan,Tomato,Other,FAQ,2021-01-25 00:00:00,1672.28,2310.91,1980.85,78
Maharashtra,Nashik,Nandgaon,Onion,Red,FAQ,06-11-2020,852.0,2950.0,1600.0,23
Maharashtra,Nashik,Nandgaon,Bajra(Pearl Millet/Cumbu),Other,FAQ,24-08-2024,2386.0,2525.0,2450.0,28
Maharashtra,Jalgaon,Bhusaval,Carrot,Other,FAQ,22-12-2023,1000.0,1000.0,1000.0,153
Maharashtra,Mumbai,Mumbai,Arecanut(Betelnut/Supari),Other,FAQ,25-05-2021,40000.0,50000.0,45000.0,140
Maharashtra,Nanded,Bhusaval_Nan,Brinjal,Other,FAQ,2023-09-14 00:00:00,1360.2,1999.19,1672.49,35
Maharashtra,Aurangabad,Jalgaon_Aur,Mango (Raw-Ripe),Other,FAQ,2024-03-01 00:00:00,2678.56,3534.11,3105.53,172
Maharashtra,Yavatmal,Chopada_Yav,Soyabean,Yellow,FAQ,2022-09-07 00:00:00,4300.77,4791.79,4618.55,13
Maharashtra,Jalgaon,Raver,Maize,Yellow,FAQ,05-11-2020,1175.0,1421.0,1240.0,4
Maharashtra,Nashik,Nasik,Chikoos(Sapota),Other,FAQ,31-03-2023,1500.0,3500.0,2500.0,71
Maharashtra,Mumbai,Mumbai,Green Chilli,Other,FAQ,09-06-2020,2500.0,3000.0,2800.0,87
Maharashtra,Osmanabad,Jalgaon_Osm,Raddish,Other,FAQ,2021-12-09 00:00:00,1469.02,1750.55,1619.39,161
Maharashtra,Nashik,Lasalgaon,Wheat,Maharashtra 2189,FAQ,29-12-2020,1500.0,1650.0,1540.0,1
Maharashtra,Amravati,Chandur Railway,Arhar (Tur/Red Gram)(Whole),Other,FAQ,08-09-2023,11200.0,12000.0,11900.0,49
Maharashtra,Amravati,Morshi,Arhar (Tur/Red Gram)(Whole),Other,FAQ,04-11-2024,8000.0,9500.0,8750.0,49
Maharashtra,Nashik,Nashik(Devlali),Methi(Leaves),Other,FAQ,13-07-2021,600.0,1000.0,850.0,46
Maharashtra,Beed,Chopada_Bee,Bajra(Pearl Millet/Cumbu),Other,FAQ,2021-08-20 00:00:00,2109.5,2519.42,2355.05,28
Maharashtra,Mumbai,Mumbai,Elephant Yam (Suran),Other,FAQ,09-01-2025,5000.0,6000.0,5500.0,296
Maharashtra,Nashik,Nandgaon,Tamarind Fruit,Other,FAQ,26-04-2022,6799.0,7251.0,7000.0,261
Maharashtra,Jalgaon,Amalner,Wheat,Other,FAQ,16-06-2023,2301.0,2490.0,2490.0,1
Maharashtra,Beed,Raver_Bee,Wheat,Other,FAQ,2024-09-04 00:00:00,2022.92,2629.81,2334.6,1
Maharashtra,Chandrapur,Amrawati(Frui & Veg. Market)_Cha,Green Chilli,Other,FAQ,2022-03-12 00:00:00,2335.96,2821.18,2592.44,87
Maharashtra,Osmanabad,Chopada_Osm,Bajra(Pearl Millet/Cumbu),Other,FAQ,2021-07-15 00:00:00,1929.6,2304.56,2154.21,28
Maharashtra,Palghar,Mumbai_Pal,Rice,Other,FAQ,2021-01-21 00:00:00,3041.58,5924.12,4496.93,3
Maharashtra,Gondia,Amrawati(Frui & Veg. Market)_Gon,Pumpkin,Other,FAQ,2024-08-24 00:00:00,1067.57,1375.47,1221.4,84
Maharashtra,Hingoli,Dharangaon_Hin,Maize,Yellow,FAQ,2021-04-17 00:00:00,1419.59,1678.84,1571.12,4
Maharashtra,Nagpur,Daryapur_Nag,Arhar (Tur/Red Gram)(Whole),Other,FAQ,2024-05-31 00:00:00,6848.93,7681.72,7359.75,49
Maharashtra,Nashik,Chandvad,Maize,Yellow,FAQ,28-01-2023,1995.0,2055.0,2025.0,4
Maharashtra,Mumbai,Mumbai,Maize,Other,FAQ,26-02-2024,2400.0,6500.0,3150.0,4
Maharashtra,Osmanabad,Jalgaon_Osm,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,2021-09-13 00:00:00,5023.97,5639.15,5380.06,6
Maharashtra,Akola,Daryapur_Ako,Green Gram (Moong)(Whole),Other,FAQ,2020-02-05 00:00:00,6142.52,7262.52,6741.7,9
Maharashtra,Sangli,Chalisgaon_San,Jowar(Sorghum),Jowar ( White),FAQ,2023-09-12 00:00:00,1930.99,2585.03,2303.7,5
Maharashtra,Nashik,Nashik(Devlali),Onion Green,Other,FAQ,09-07-2020,500.0,901.0,700.0,358
Maharashtra,Jalgaon,Jalgaon,Raddish,Other,FAQ,06-09-2023,800.0,800.0,800.0,161
Maharashtra,Nashik,Lasalgaon,Soyabean,Other,FAQ,09-09-2021,4001.0,9400.0,8300.0,13
Maharashtra,Thane,Panvel_Tha,Cucumbar(Kheera),Other,FAQ,2023-11-09 00:00:00,2648.5,2986.24,2787.44,159
Maharashtra,Solapur,Amalner_Sol,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,2020-07-29 00:00:00,4423.3,4964.92,4736.81,6
Maharashtra,Jalgaon,Amalner,Bajra(Pearl Millet/Cumbu),Other,FAQ,23-02-2023,2200.0,2700.0,2700.0,28
Maharashtra,Mumbai,Mumbai,Cinamon(Dalchini),Other,FAQ,25-02-2022,80000.0,100000.0,90000.0,316
Maharashtra,Nashik,Nasik,Coriander(Leaves),Other,FAQ,23-11-2021,500.0,3800.0,3000.0,43
Maharashtra,Nashik,Sinner,Green Peas,Other,FAQ,22-08-2024,5000.0,7500.0,6500.0,50
Maharashtra,Raigad,Panvel,Little gourd (Kundru),Other,FAQ,25-06-2024,4000.0,5000.0,4500.0,302
Maharashtra,Wardha,Varud(Rajura Bazar)_War,Arhar (Tur/Red Gram)(Whole),Other,FAQ,2021-07-08 00:00:00,6771.58,7594.97,7276.63,49
Maharashtra,Yavatmal,Pachora_Yav,Jowar(Sorghum),Other,FAQ,2023-01-26 00:00:00,2195.39,2938.98,2619.14,5
Maharashtra,Akola,Daryapur_Ako,Soyabean,Yellow,FAQ,2020-06-12 00:00:00,4555.36,5228.29,4971.26,13
Maharashtra,Dhule,Chalisgaon_Dhu,Jowar(Sorghum),Jowar ( White),FAQ,2020-06-06 00:00:00,1711.91,1975.98,1859.16,5
Maharashtra,Amravati,Amrawati(Frui & Veg. Market),Pumpkin,Other,FAQ,09-03-2021,1000.0,1200.0,1100.0,84
Maharashtra,Nashik,Lasalgaon(Niphad),Black Gram (Urd Beans)(Whole),Other,FAQ,04-01-2021,5000.0,5200.0,5001.0,8
Maharashtra,Nashik,Chandvad,Methi(Leaves),Other,FAQ,15-03-2022,4.0,5.0,4.0,46
Maharashtra,Amravati,Amarawati,Soyabean,Other,FAQ,03-04-2021,5800.0,6200.0,6000.0,13
Maharashtra,Mumbai,Mumbai,Cauliflower,Other,FAQ,11-01-2022,1600.0,3000.0,2300.0,34
Maharashtra,Raigad,Panvel,Bitter gourd,Other,FAQ,09-04-2022,2800.0,3000.0,2900.0,81
Maharashtra,Washim,Jalgaon_Was,Methi(Leaves),Other,FAQ,2021-05-11 00:00:00,1952.95,2602.73,2247.26,46
Maharashtra,Chandrapur,Chandur Bazar_Cha,Soyabean,Yellow,FAQ,2022-04-01 00:00:00,4805.5,5515.39,5244.24,13
Maharashtra,Ahmednagar,Nasik_Ahm,Ginger(Green),Other,FAQ,2024-08-21 00:00:00,4593.7,6678.44,5702.64,103
Maharashtra,Latur,Chopada_Lat,Wheat,Other,FAQ,2020-12-22 00:00:00,1817.12,2362.28,2097.1,1
Maharashtra,Nashik,Nasik,Cabbage,Other,FAQ,24-08-2020,500.0,916.0,750.0,154
Maharashtra,Mumbai,Mumbai,Carrot,Other,FAQ,13-08-2024,2000.0,2600.0,2300.0,153
Maharashtra,Mumbai,Mumbai,Pointed gourd (Parval),Other,FAQ,30-12-2020,3000.0,4000.0,3500.0,303
Maharashtra,Mumbai,Mumbai,Arecanut(Betelnut/Supari),Other,FAQ,29-08-2023,40000.0,50000.0,45000.0,140
Maharashtra,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,09-10-2023,3000.0,4580.0,4400.0,13
Maharashtra,Satara,Nasik_Sat,Chilly Capsicum,Other,FAQ,2020-01-09 00:00:00,3190.37,5212.19,4210.98,88
Maharashtra,Nashik,Nasik,Ridgeguard(Tori),Other,FAQ,11-12-2023,5835.0,7500.0,6835.0,160
Maharashtra,Jalgaon,Dharangaon,Maize,Yellow,FAQ,02-11-2021,1200.0,1412.0,1350.0,4
Maharashtra,Kolhapur,Amalner_Kol,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,2024-10-25 00:00:00,5422.82,6086.83,5807.17,6
