temperature,humidity,rainfall,nitrogen,phosphorus,potassium,ph,label
14.5,88.7,196.1,26.9,98.8,18.9,8.0,Marigold(Calcutta)
35.2,89.4,272.4,52.0,28.3,100.3,7.5,Black Gram Dal (Urd Dal)
39.1,75.0,82.5,106.2,3.6,4.5,5.8,Pumpkin
39.8,88.8,270.5,80.5,57.7,74.7,4.5,Pumpkin
27.6,43.6,273.9,109.7,101.5,126.5,8.0,Black pepper
26.9,81.5,148.2,108.1,37.1,144.0,6.5,Cauliflower
21.3,74.6,258.2,2.0,47.7,87.0,8.1,Black Gram (Urd Beans)(Whole)
36.2,85.8,168.6,88.3,100.9,80.2,6.0,Banana
37.1,82.6,293.6,3.9,121.8,154.1,5.4,Methi Seeds
26.0,51.4,273.6,18.0,47.9,65.9,4.9,Lime
30.3,47.8,190.4,100.1,105.6,136.6,8.0,Chilly Capsicum
24.5,43.1,200.7,78.2,55.1,177.0,7.1,Bottle gourd
30.6,46.1,80.8,53.5,120.8,71.3,4.6,Chili Red
27.7,60.6,233.7,43.1,66.8,139.5,8.4,Bengal Gram(Gram)(Whole)
28.5,39.4,169.6,109.3,44.0,63.9,4.5,Chow Chow
19.3,74.5,253.8,86.1,99.7,76.9,6.7,Tomato
15.5,51.9,158.1,87.2,10.8,103.3,5.2,Black Gram Dal (Urd Dal)
28.0,70.9,298.4,32.5,90.5,94.4,4.7,Groundnut
35.8,71.8,299.0,2.8,123.1,142.7,7.1,Green Peas
15.3,58.6,173.6,68.6,78.1,52.8,6.0,Bottle gourd
29.5,45.5,67.4,57.9,67.0,52.6,7.4,Pineapple
13.2,34.2,197.2,72.9,107.6,104.5,6.2,Ajwan
30.5,65.4,207.3,48.0,62.2,114.4,7.9,Drumstick
28.8,64.8,235.4,94.5,29.9,72.3,5.0,Ridgeguard(Tori)
16.2,64.5,87.2,36.8,52.4,29.5,4.7,Banana - Green
36.8,82.8,237.3,106.8,130.2,150.9,5.9,Green Gram (Moong)(Whole)
10.4,84.4,106.7,98.8,80.2,110.0,7.4,Cardamoms
14.1,88.9,142.4,87.6,71.1,29.3,4.7,Karbuja(Musk Melon)
32.4,78.7,214.1,17.9,49.0,190.3,5.4,Little gourd (Kundru)
28.4,57.8,72.5,139.5,80.0,143.6,6.1,Tamarind Fruit
35.4,50.0,150.0,59.3,90.8,58.8,8.4,Ginger(Green)
34.0,54.6,107.5,56.9,119.8,46.7,6.6,Apple
38.3,58.8,80.4,95.3,18.7,66.1,5.4,Papaya
24.4,41.7,91.6,86.4,75.8,137.4,8.2,Cucumbar(Kheera)
25.0,66.5,274.4,56.2,55.8,0.7,7.0,Black Gram Dal (Urd Dal)
12.4,51.9,150.5,37.8,31.2,72.9,7.1,Litchi
36.4,88.8,148.2,124.1,73.9,147.0,4.7,She Buffalo
26.8,49.5,169.9,132.2,100.3,73.8,8.5,Mango
34.1,75.6,231.7,52.5,20.2,43.2,7.5,Mint(Pudina)
11.2,48.5,193.3,57.3,40.9,56.4,7.7,Arecanut(Betelnut/Supari)
37.2,41.2,200.7,126.1,6.8,105.8,6.3,Amla(Nelli Kai)
30.7,46.0,55.1,30.0,26.8,7.0,5.8,Cow
35.3,40.2,129.0,124.4,81.3,119.6,6.4,Cucumbar(Kheera)
29.3,58.3,277.0,50.8,41.6,102.7,6.3,Potato
17.2,79.6,289.6,7.7,33.8,38.9,7.2,Green Chilli
30.3,74.5,196.2,38.6,73.7,51.6,8.1,Cow
25.4,38.5,146.0,80.1,145.0,26.0,7.7,Black pepper
23.3,43.0,125.1,135.4,41.9,43.8,6.6,Pointed gourd (Parval)
13.6,49.2,266.9,32.6,88.1,82.5,5.3,Garlic
23.5,44.1,99.2,56.7,87.3,129.7,6.0,Wheat
28.6,30.5,192.3,88.1,43.1,149.0,6.0,Sugar
24.0,71.1,265.2,58.2,77.1,199.9,4.7,Arecanut(Betelnut/Supari)
30.7,33.3,68.2,25.2,39.7,155.8,6.2,Sugar
29.5,76.4,203.2,73.5,140.2,57.9,5.1,Onion
10.1,80.6,180.3,129.1,29.7,21.0,7.0,Chili Red
25.5,82.7,273.7,63.5,66.1,105.6,6.6,Cinamon(Dalchini)
30.5,76.8,187.9,25.4,62.5,155.4,7.2,Turmeric
22.4,64.1,196.1,9.7,121.3,98.3,8.5,Elephant Yam (Suran)
24.5,46.9,229.1,124.0,0.0,141.0,7.6,Pumpkin
27.9,30.6,269.9,62.3,135.1,101.6,7.3,Water Melon
20.6,58.9,199.3,66.1,101.3,88.9,5.3,Pointed gourd (Parval)
13.9,69.9,133.4,24.2,72.6,92.7,7.6,Litchi
37.6,59.1,247.7,57.0,63.1,174.0,4.9,Ginger(Green)
19.6,57.8,100.2,35.2,95.8,24.0,5.3,Guava
10.9,54.9,158.4,65.4,102.2,63.3,5.8,Safflower
21.7,46.3,257.2,49.9,40.7,111.3,5.1,Jowar(Sorghum)
37.8,59.2,191.7,36.0,74.5,153.4,6.5,Ground Nut Seed
34.9,82.1,180.8,127.8,122.5,149.9,7.4,Beetroot
37.4,65.4,214.2,109.4,87.9,14.5,6.2,Green Peas
33.4,51.0,64.5,135.7,128.1,190.2,8.5,Snakeguard
37.6,47.6,130.7,9.2,89.2,174.1,5.9,Cabbage
18.3,31.2,139.5,36.3,99.8,63.0,6.0,Carrot
32.5,71.6,297.7,38.9,72.2,67.6,6.3,Cummin Seed(Jeera)
33.2,79.7,92.6,125.6,95.1,180.8,6.4,Soyabean
35.1,71.8,220.0,86.6,109.1,32.5,8.0,Leafy Vegetable
18.4,72.0,226.4,98.0,123.9,17.9,4.9,Sabu Dan
24.5,49.4,259.7,41.7,95.7,28.1,7.2,Carrot
39.3,81.8,130.8,64.9,60.2,30.6,8.3,Green Gram Dal (Moong Dal)
15.2,36.6,179.0,78.2,13.1,58.3,5.6,Papaya
32.0,47.1,129.4,43.4,108.4,114.1,8.0,Peas Wet
37.5,30.8,190.8,129.3,132.5,119.9,6.0,Pineapple
31.6,67.9,74.9,129.6,81.0,51.3,5.3,Drumstick
16.0,50.6,261.3,12.3,124.4,99.2,7.8,Cucumbar(Kheera)
37.0,43.5,57.9,60.7,102.1,93.2,6.3,Ginger(Dry)
15.6,46.7,104.7,25.6,119.7,58.6,8.2,Guava
34.8,73.7,148.4,118.7,133.4,110.1,5.4,Safflower
17.0,51.3,86.3,27.3,112.4,53.7,6.3,Black pepper
26.4,37.7,59.2,125.6,134.7,15.6,6.7,Jack Fruit
13.9,71.2,73.3,4.1,119.3,43.0,6.0,Green Gram Dal (Moong Dal)
13.6,82.2,51.5,54.3,40.3,116.9,5.5,Onion
32.4,50.4,121.0,103.0,121.3,146.7,7.1,Pineapple
38.7,86.6,75.1,132.3,115.4,159.4,4.9,Tender Coconut
22.8,36.8,158.4,64.0,79.9,21.6,8.5,Garlic
27.1,75.7,269.2,47.9,119.1,22.7,7.9,Turmeric
18.4,49.4,121.9,18.0,109.2,9.5,5.1,Chow Chow
29.5,45.0,72.8,89.1,35.8,48.0,5.6,Cotton
34.4,43.3,283.7,46.2,24.9,30.4,5.2,Arecanut(Betelnut/Supari)
33.2,47.9,68.6,24.7,13.5,49.9,6.3,Ragi (Finger Millet)
28.6,54.7,156.9,46.2,81.8,174.4,5.3,Jute
22.3,52.3,124.2,21.3,20.0,27.1,5.0,Other Pulses
30.3,51.8,284.5,38.6,48.2,143.7,7.6,Garlic
13.8,82.2,260.7,101.8,61.8,0.3,7.4,Ragi (Finger Millet)
33.5,54.5,68.7,98.9,58.7,190.7,5.7,Almond(Badam)
29.1,48.1,255.0,116.5,135.2,85.8,6.7,Sweet Pumpkin
36.8,43.6,188.3,90.2,24.5,200.1,6.5,Soanf
12.4,40.3,64.8,14.8,26.8,69.9,6.7,Coriander(Leaves)
24.6,76.7,145.6,62.0,54.5,75.3,6.6,Black pepper
13.6,37.5,287.0,114.7,80.1,179.4,8.5,Cotton
17.5,48.8,182.2,39.0,119.6,167.9,7.4,Karbuja(Musk Melon)
38.1,57.8,101.1,21.2,144.1,68.4,5.1,Banana - Green
39.8,64.1,205.4,65.9,96.0,196.1,6.9,Pomegranate
18.4,34.2,64.2,16.9,84.2,190.4,6.5,Cinamon(Dalchini)
20.2,72.8,181.1,31.2,122.7,167.7,6.1,Carrot
32.3,38.0,169.0,44.6,141.8,200.5,5.8,French Beans (Frasbean)
26.1,71.9,207.7,131.8,115.4,114.2,5.4,Kulthi(Horse Gram)
19.7,38.7,118.0,90.1,33.3,32.3,7.0,Wheat
36.2,61.0,146.3,8.0,55.2,185.2,4.6,Bitter gourd
37.5,60.4,220.5,86.6,44.8,57.4,5.9,Banana - Green
20.4,82.1,289.9,132.1,127.9,183.4,5.7,Banana - Green
22.4,86.1,62.1,29.4,82.1,126.2,4.7,Jamun(Narale Hannu)
36.8,75.2,282.7,96.8,97.8,0.7,6.4,Brinjal
31.2,59.4,145.7,31.1,119.6,124.7,6.3,Guar
39.0,66.2,253.4,69.5,104.8,198.8,5.9,Spinach
39.3,48.9,157.2,38.5,84.0,12.0,5.1,Karbuja(Musk Melon)
39.1,43.9,73.4,36.8,17.8,34.8,5.8,Water Melon
38.1,44.2,97.4,85.4,86.3,104.6,4.5,Garlic
20.3,48.7,157.1,113.1,136.0,93.3,4.8,Potato
19.2,41.5,117.1,67.9,54.0,80.9,7.9,Gur(Jaggery)
28.9,75.2,157.6,90.3,32.1,29.4,8.4,Rice
21.3,56.7,61.6,1.9,133.6,26.4,6.3,Tomato
31.2,86.2,106.2,65.6,36.3,16.4,6.1,Plum
11.2,51.7,256.6,98.2,66.6,11.3,6.2,Chow Chow
34.5,57.3,210.7,124.7,111.8,181.3,4.5,Plum
12.7,48.0,64.4,52.0,142.3,21.6,6.7,Water Melon
22.9,87.3,101.4,43.6,44.6,59.2,6.4,Marigold(Calcutta)
14.0,41.1,241.5,83.8,72.7,127.7,5.0,Green Gram (Moong)(Whole)
22.4,68.0,263.4,65.3,125.4,19.2,7.1,Guava
28.3,64.5,220.2,47.6,52.5,64.4,7.3,Methi Seeds
13.1,53.1,171.9,91.3,137.8,123.1,7.5,Bajra(Pearl Millet/Cumbu)
32.2,79.8,260.4,79.3,113.1,100.9,8.3,Ghee
30.4,70.0,177.7,60.0,7.8,4.5,5.9,Mustard
30.0,78.4,74.9,80.8,9.1,36.1,5.8,Sunflower
39.0,79.9,121.2,50.9,67.4,200.7,5.2,Ginger(Green)
13.2,35.2,120.4,105.4,37.8,166.9,7.8,Chili Red
21.1,46.0,211.5,69.9,38.6,30.6,5.0,Bitter gourd
10.3,88.1,198.0,100.8,94.5,29.6,6.9,Mustard
12.9,70.8,123.3,111.4,58.3,136.4,8.2,Litchi
14.8,33.7,255.7,43.6,58.2,103.1,7.9,Mataki
23.1,87.5,146.2,14.5,67.2,132.8,4.5,Ox
22.3,60.9,138.2,80.3,47.2,139.1,6.5,Onion
32.8,89.1,286.4,27.6,126.9,144.4,6.3,Arhar Dal(Tur Dal)
23.4,65.5,225.2,27.2,64.8,170.1,7.1,Sugar
34.1,58.6,276.2,80.5,134.6,201.4,6.3,Cherry
23.1,49.1,152.9,127.6,23.8,50.9,6.9,Banana
15.3,31.7,277.3,1.2,106.7,31.2,8.1,Cow
35.7,43.8,262.2,19.5,84.1,182.1,6.4,Banana
10.8,57.0,239.6,76.5,94.5,105.9,8.5,Cashewnuts
23.5,30.9,156.6,84.9,80.9,133.5,5.1,Peas Wet
19.1,58.1,268.5,7.4,128.9,44.9,7.2,Coriander(Leaves)
25.7,45.4,64.7,14.1,82.7,80.0,4.6,Cotton
10.3,72.7,171.2,98.1,64.9,97.2,8.1,Gur(Jaggery)
15.0,67.6,185.4,92.3,129.6,93.3,4.7,Sabu Dan
22.8,86.8,104.4,35.9,14.6,124.1,7.2,Turmeric
20.4,65.7,292.7,137.6,84.1,0.2,8.1,Carrot
31.5,75.0,159.0,15.4,38.7,53.2,6.4,Cinamon(Dalchini)
32.4,83.6,239.2,46.5,107.9,31.2,5.0,Arecanut(Betelnut/Supari)
14.7,48.5,225.8,91.1,13.2,118.3,5.1,Cinamon(Dalchini)
35.5,34.1,298.3,97.8,23.5,2.5,5.2,Peach
30.8,42.4,148.0,125.4,29.6,104.1,6.2,Peach
22.1,44.1,254.7,47.2,120.0,0.1,5.7,Peach
27.2,42.7,102.1,17.6,27.5,6.5,7.2,Green Gram (Moong)(Whole)
18.2,47.0,213.6,122.1,140.6,70.0,7.7,Coconut
35.7,84.4,262.6,115.4,108.0,129.9,7.2,Cowpea (Lobia/Karamani)
11.0,75.2,140.3,34.9,83.5,111.6,8.0,She Buffalo
17.5,65.6,102.0,45.3,92.3,180.7,6.6,Black Gram (Urd Beans)(Whole)
16.6,69.0,276.1,12.0,31.4,173.1,7.0,Arhar (Tur/Red Gram)(Whole)
30.1,45.5,231.8,2.3,22.0,50.2,7.6,Ridgeguard(Tori)
22.6,43.4,90.8,64.0,116.1,59.7,6.6,Cucumbar(Kheera)
39.6,68.5,271.7,28.0,35.7,195.3,5.0,Ghee
35.5,59.7,170.1,82.9,119.6,71.3,7.2,French Beans (Frasbean)
18.1,49.0,261.2,66.7,97.1,82.5,5.7,Jowar(Sorghum)
36.7,59.8,256.2,56.3,14.8,12.6,4.7,Cowpea (Lobia/Karamani)
11.4,32.3,57.9,97.7,77.7,75.9,7.2,Mint(Pudina)
13.6,72.8,240.2,78.6,111.8,101.2,6.6,Jowar(Sorghum)
14.3,63.5,96.2,5.5,5.2,170.5,6.9,Ragi (Finger Millet)
30.6,76.4,234.5,47.8,144.9,174.0,5.5,Methi(Leaves)
24.2,78.1,234.2,41.6,8.5,29.2,7.9,Bottle gourd
19.4,48.6,170.7,72.1,0.2,126.3,8.5,Peas Wet
22.3,66.8,96.5,20.4,115.8,88.1,8.4,Pineapple
29.7,33.8,91.5,42.1,78.2,159.2,5.8,Little gourd (Kundru)
31.3,53.4,259.4,132.0,60.5,94.4,6.9,Guava
14.3,40.8,252.6,139.0,125.8,130.2,7.4,Mango (Raw-Ripe)
10.7,71.8,231.3,117.1,141.3,200.0,4.8,Ginger(Dry)
26.2,80.6,240.4,8.2,144.8,154.2,8.0,Papaya
18.1,89.9,67.9,6.1,31.5,199.1,8.4,Sunflower
18.5,40.9,216.9,81.2,94.0,70.5,7.6,Turmeric
15.4,70.3,164.9,138.8,32.9,63.7,8.4,Lime
11.6,89.6,176.9,3.4,78.5,178.4,7.6,Apple
14.7,53.5,261.0,113.0,90.6,55.2,5.6,Soyabean
11.2,59.9,222.3,35.3,44.6,125.8,8.1,Lentil (Masur)(Whole)
23.9,81.9,112.4,100.4,124.1,73.1,7.5,Groundnut
19.8,55.3,77.4,34.7,128.0,74.0,7.0,Ajwan
38.5,71.9,177.4,25.6,17.9,12.3,4.6,Cinamon(Dalchini)
28.6,72.1,246.3,71.8,117.9,101.9,8.3,Cowpea (Lobia/Karamani)
29.2,88.3,286.6,32.4,24.8,115.0,6.8,Litchi
12.5,51.4,220.1,38.4,120.0,151.7,7.7,Ajwan
23.1,80.1,145.0,94.6,90.6,136.6,5.6,Wheat
15.1,52.0,196.5,39.7,141.8,53.9,6.4,Green Gram Dal (Moong Dal)
19.9,49.6,222.2,35.4,131.8,110.3,8.4,Methi Seeds
37.4,40.2,254.4,130.7,136.1,187.4,6.7,Marigold(Calcutta)
17.5,59.4,105.3,138.3,136.9,8.1,7.3,Pomegranate
36.1,54.2,292.6,130.5,107.5,57.3,5.0,Long Melon(Kakri)
32.4,59.5,200.1,19.9,117.9,123.9,8.4,Sweet Potato
23.4,63.9,167.6,6.7,127.9,91.1,6.9,Jamun(Narale Hannu)
35.6,55.2,217.0,8.2,76.8,9.2,4.6,Groundnut
39.3,84.8,60.6,129.7,119.3,177.9,8.2,Amla(Nelli Kai)
37.2,39.7,249.3,58.9,26.5,192.3,8.4,Jamun(Narale Hannu)
37.4,31.1,141.6,102.0,61.9,5.1,4.8,Garlic
37.2,70.2,190.1,15.5,64.8,94.4,8.0,Guava
17.0,62.5,105.6,20.6,83.1,200.4,5.4,Linseed
22.1,31.8,238.3,136.1,89.9,175.6,6.6,Cowpea (Lobia/Karamani)
28.4,30.3,189.0,50.9,4.7,88.5,7.6,Groundnut
14.6,71.4,290.0,89.7,89.5,113.5,4.9,Seetapal
14.4,46.5,62.2,27.0,59.3,77.9,5.3,Sunflower
24.4,60.3,112.2,102.0,93.6,202.1,5.4,Rice
33.4,45.2,257.4,98.6,137.1,83.8,7.1,Corriander seed
20.2,53.3,239.0,10.2,125.4,88.2,6.8,Brinjal
32.4,76.4,280.0,59.8,42.5,131.1,6.2,Snakeguard
15.8,64.7,66.6,34.6,25.0,68.8,7.2,Sweet Potato
15.9,65.3,256.6,6.8,86.6,131.9,6.9,Sunflower
16.8,44.6,64.1,10.5,60.9,126.7,7.7,Wheat
31.4,64.0,54.9,33.0,116.5,49.7,7.4,Soanf
22.9,79.9,112.2,0.6,0.0,96.8,4.6,Rice
11.5,69.2,227.2,130.0,48.8,52.8,7.4,Coriander(Leaves)
34.2,30.5,281.1,62.1,80.2,52.3,7.5,Ragi (Finger Millet)
13.5,67.0,161.0,26.3,94.7,30.4,6.7,Pumpkin
30.6,68.8,286.8,14.1,48.8,98.7,7.2,Bhindi(Ladies Finger)
16.7,44.3,178.1,108.3,6.4,142.1,7.1,Cauliflower
11.6,47.6,165.2,37.3,7.1,17.8,7.7,Onion
37.3,73.4,120.4,47.7,99.5,98.0,4.8,Drumstick
38.1,58.5,66.1,45.0,51.0,166.0,7.4,Almond(Badam)
10.8,42.6,120.3,99.8,1.7,83.8,8.2,She Buffalo
36.7,64.8,128.2,22.9,50.1,110.7,5.3,Mustard
19.9,73.2,210.9,46.6,109.5,133.0,7.0,"Sesamum(Sesame,Gingelly,Til)"
27.9,69.2,98.1,41.4,89.8,122.9,6.5,Goat
31.9,82.5,284.7,112.7,123.3,112.9,7.8,Water Melon
10.1,90.0,250.6,110.1,73.9,61.5,5.1,Bhindi(Ladies Finger)
26.7,51.5,277.8,2.9,45.8,11.7,7.6,Paddy(Dhan)(Common)
20.6,69.9,233.4,65.7,93.5,43.2,7.9,Masur Dal
32.0,67.5,263.5,112.3,6.0,77.7,4.6,Carrot
37.1,42.7,259.1,18.4,33.2,115.1,5.7,Jute
17.7,59.1,82.9,101.4,59.0,28.8,7.5,Ginger(Dry)
10.5,45.6,215.3,4.5,12.1,60.1,8.0,Pomegranate
30.0,70.2,275.3,2.2,123.7,106.8,7.0,Ginger(Green)
18.7,38.6,207.6,92.9,136.6,195.2,7.1,Spinach
28.7,60.9,158.7,115.9,73.1,78.8,5.1,Ground Nut Seed
19.0,64.1,55.5,5.4,71.9,81.2,5.3,Wheat
16.2,59.6,109.4,13.5,116.2,110.7,5.1,Paddy(Dhan)(Common)
27.8,59.2,234.7,103.2,62.0,25.5,6.6,Jamun(Narale Hannu)
15.6,58.3,272.2,65.6,60.0,118.5,5.5,Ragi (Finger Millet)
39.5,30.7,271.5,49.5,19.2,32.3,7.3,Maize
38.7,49.8,240.2,74.4,31.9,126.1,8.4,Sweet Pumpkin
26.0,60.7,288.6,67.0,101.4,189.0,6.0,Papaya
28.6,63.6,207.1,74.6,92.1,92.2,5.4,Papaya
32.3,69.6,117.6,17.1,6.2,171.8,4.8,Pear(Marasebu)
15.4,53.3,150.6,122.4,74.0,148.3,4.9,Leafy Vegetable
15.8,73.9,117.7,112.8,99.1,107.2,7.1,Leafy Vegetable
33.5,62.6,75.0,96.3,35.1,186.8,7.9,Pineapple
19.0,64.7,174.5,81.1,41.6,75.2,4.8,Arecanut(Betelnut/Supari)
33.7,34.5,67.2,75.2,23.2,1.6,6.2,Chow Chow
36.4,37.3,208.7,81.5,17.2,43.4,5.7,Potato
19.7,55.5,176.9,33.9,16.7,125.2,5.7,Coriander(Leaves)
32.8,51.5,78.0,112.0,38.4,10.9,6.3,Linseed
16.4,67.5,252.7,46.3,25.2,42.9,7.0,Mango (Raw-Ripe)
20.5,67.0,271.2,32.4,58.6,203.6,8.0,Cardamoms
35.1,82.6,185.1,34.2,13.9,178.1,4.9,Mustard
36.6,76.8,210.5,11.8,23.4,184.2,6.9,Green Gram Dal (Moong Dal)
18.6,61.9,177.6,114.9,58.7,99.3,4.6,Ridgeguard(Tori)
37.6,32.8,134.7,56.7,34.7,128.9,7.1,Papaya
37.7,46.3,193.5,77.7,82.6,147.1,6.1,Cashewnuts
21.4,66.5,169.9,64.6,119.4,132.0,5.9,Rice
29.6,39.5,194.9,75.9,126.3,71.8,6.2,Cow
29.6,46.8,192.7,108.1,134.6,53.5,5.8,Bhindi(Ladies Finger)
30.6,43.0,227.3,130.9,82.0,125.3,4.8,Tomato
29.3,88.3,294.6,66.0,23.6,41.4,8.1,Mango
22.3,70.5,122.1,8.8,96.1,24.9,7.5,Rice
38.7,47.3,65.7,53.9,53.1,96.4,6.7,Green Chilli
29.1,38.9,223.9,104.4,142.4,43.0,7.8,Mataki
13.1,55.9,107.5,72.2,36.8,192.8,8.1,Green Peas
20.8,34.8,137.9,138.7,57.6,137.3,5.0,Ragi (Finger Millet)
36.6,65.3,219.8,41.2,64.0,165.4,5.8,Other Pulses
